marker,ln0251_n_cells,ln0251_mean,ln0251_std,ln0251_median,ln0251_pct_nonzero,ln0265_n_cells,ln0265_mean,ln0265_std,ln0265_median,ln0265_pct_nonzero,mean_difference,mean_fold_change,cohens_d,mannwhitney_p,mannwhitney_significant,ks_statistic,ks_p,wasserstein_distance,std_ratio,abs_cohens_d,abs_log_fc
CXCL13,15115,0.006769859595875535,0.004259039717767891,0.006437165662646294,99.96692027786966,14297,0.004025236989725982,0.002945268005499506,0.003593793138861656,99.99300552563474,0.002744622606149553,1.6818494897716554,0.7495756318683912,0.0,True,0.5195698567169317,0.0,0.0027465903603735376,1.446056946004857,0.7495756318683912,0.22578713037804085
CD21,15115,0.006944525185146391,0.011372178989698842,0.004987156949937344,99.95368838901754,14297,0.004113139250913579,0.010274139449138221,0.0027977866120636463,99.972022102539,0.0028313859342328123,1.6883717953108388,0.2612682183758653,0.0,True,0.481455612355356,0.0,0.0028453243353356553,1.1068730356703855,0.2612682183758653,0.22746809111316824
CD7,15115,0.04866988324101792,0.058606800722117686,0.02317728102207184,99.98015216672181,14297,0.016864757489655456,0.033431863068967865,0.004815069027245045,99.972022102539,0.03180512575136246,2.8858911497517616,0.6666372782239898,0.0,True,0.4632809091733838,0.0,0.03180512575136246,1.753021752661465,0.6666372782239898,0.46027994782103454
Podoplanin,15115,0.015583338759155716,0.01550210344965745,0.01258869282901287,99.98676811114787,14297,0.010519834231972327,0.017162123482261208,0.007848614826798439,99.99300552563474,0.005063504527183389,1.4813278994943875,0.3096338516413835,0.0,True,0.4477854112849261,0.0,0.005324511385453664,0.9032736789793898,0.3096338516413835,0.17065120539549702
CD279,15115,0.021557350296304557,0.01535365245915745,0.016256671398878098,99.96692027786966,14297,0.013452910450381984,0.011458601941480604,0.010043607093393803,99.99300552563474,0.008104439845922573,1.6024290321059955,0.598252348704341,0.0,True,0.4248282738541944,0.0,0.008105225648731269,1.3399225436352071,0.598252348704341,0.20477880742386217
HLA-DR,15115,0.03600035800124185,0.032545419388408874,0.028074946254491806,99.97353622229573,14297,0.009738260972937295,0.010560214360578343,0.008029424585402012,100.0,0.026262097028304555,3.696791566109326,1.0854685540969002,0.0,True,0.6023421748224791,0.0,0.02627008659903599,3.0818871150031595,1.0854685540969002,0.5678249658835646
CD223,15115,0.010353678467053285,0.012778289731934256,0.007055067457258701,99.94707244459147,14297,0.005671357610783894,0.005658213725965821,0.004694020841270685,99.99300552563474,0.004682320856269391,1.8256052468484236,0.47383215373839443,0.0,True,0.3535498692718165,0.0,0.0046823949095397025,2.258357101239062,0.47383215373839443,0.2614068776312032
CD20,15115,0.022958876546886754,0.023344432060694087,0.01659996062517166,99.98676811114787,14297,0.03610114496181437,0.02644964930843663,0.03107510507106781,100.0,-0.013142268414927619,0.6359596132359552,-0.5268410422691326,0.0,True,0.2889902693048476,0.0,0.01318554258397854,0.8825985918558856,0.5268410422691326,0.1965704566196162
CD56,15115,0.006827413516534552,0.011688162433674718,0.0051483940333127975,99.98676811114787,14297,0.003995961132038778,0.008850472976366942,0.0032459753565490246,100.0,0.0028314523844957746,1.7085742841818652,0.2731248181368389,0.0,True,0.4869188729590359,0.0,0.0028463567593757363,1.3206242489686841,0.2731248181368389,0.23263386803481526
CD45RO,15115,0.07793502789314989,0.08160266298503072,0.042436275631189346,100.0,14297,0.03260971047370869,0.04608364809289698,0.013610430993139744,100.0,0.0453253174194412,2.3899324115944,0.6839775242253868,0.0,True,0.37311672967902165,0.0,0.045325317419441194,1.7707505515411415,0.6839775242253868,0.37838562088806094
